,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
32,2023-08-11,254.19853111704236,235.382159867657,274.46232987394546,254.19853111704236,254.19853111704236,1.3977912899950902,1.3977912899950902,1.3977912899950902,1.3977912899950902,1.3977912899950902,1.3977912899950902,0.0,0.0,0.0,255.59632240703746
33,2023-08-14,253.5460329252259,238.26775441393153,274.4528384748003,253.5460329252259,253.5460329252259,2.596004053367901,2.596004053367901,2.596004053367901,2.596004053367901,2.596004053367901,2.596004053367901,0.0,0.0,0.0,256.1420369785938
34,2023-08-15,253.32853352795374,238.1735730009692,276.8717541890473,253.32853352795374,253.32853352795374,4.0892968312787605,4.0892968312787605,4.0892968312787605,4.0892968312787605,4.0892968312787605,4.0892968312787605,0.0,0.0,0.0,257.4178303592325
35,2023-08-16,253.11103413068156,238.1127392315851,277.19363848829727,253.11103413068156,253.11103413068156,3.923593448964402,3.923593448964402,3.923593448964402,3.923593448964402,3.923593448964402,3.923593448964402,0.0,0.0,0.0,257.034627579646
36,2023-08-17,252.8935347334094,236.1604190769606,274.57832945765546,252.8935347334094,252.8935347334094,2.1785020939137167,2.1785020939137167,2.1785020939137167,2.1785020939137167,2.1785020939137167,2.1785020939137167,0.0,0.0,0.0,255.07203682732313
37,2023-08-18,252.67603533613726,234.86425837860565,272.87423743621383,252.67603533613726,252.67603533613726,1.3977912899954383,1.3977912899954383,1.3977912899954383,1.3977912899954383,1.3977912899954383,1.3977912899954383,0.0,0.0,0.0,254.0738266261327
38,2023-08-21,252.02353714432078,235.5655675979835,272.7676517835535,252.02353714432078,252.02353714432078,2.596004053368906,2.596004053368906,2.596004053368906,2.596004053368906,2.596004053368906,2.596004053368906,0.0,0.0,0.0,254.6195411976897
39,2023-08-22,251.8060377470486,237.3478024983898,274.8410978862654,251.8060377470486,251.8060377470486,4.089296831277063,4.089296831277063,4.089296831277063,4.089296831277063,4.089296831277063,4.089296831277063,0.0,0.0,0.0,255.89533457832567
40,2023-08-23,251.58853834977648,236.90839827440655,273.7877290512989,251.58853834977648,251.58853834977648,3.9235934489635667,3.9235934489635667,3.9235934489635667,3.9235934489635667,3.9235934489635667,3.9235934489635667,0.0,0.0,0.0,255.51213179874006
41,2023-08-24,251.3710815639562,234.2681137692607,272.0967874998103,251.3710815639562,251.3710815639562,2.1785020939151054,2.1785020939151054,2.1785020939151054,2.1785020939151054,2.1785020939151054,2.1785020939151054,0.0,0.0,0.0,253.54958365787132
42,2023-08-25,251.1536247781359,233.6418536695622,272.89300250752706,251.1536247781359,251.1536247781359,1.3977912899827556,1.3977912899827556,1.3977912899827556,1.3977912899827556,1.3977912899827556,1.3977912899827556,0.0,0.0,0.0,252.55141606811867
43,2023-08-28,250.501254420675,235.31866201221388,270.7483727303708,250.501254420675,250.501254420675,2.5960040533699096,2.5960040533699096,2.5960040533699096,2.5960040533699096,2.5960040533699096,2.5960040533699096,0.0,0.0,0.0,253.0972584740449
44,2023-08-29,250.2837976348547,235.31351055518772,274.3747600084112,250.2837976348547,250.2837976348547,4.089296831278701,4.089296831278701,4.089296831278701,4.089296831278701,4.089296831278701,4.089296831278701,0.0,0.0,0.0,254.37309446613338
45,2023-08-30,250.0663408490344,233.4877132089307,271.4418354234027,250.0663408490344,250.0663408490344,3.9235934489625053,3.9235934489625053,3.9235934489625053,3.9235934489625053,3.9235934489625053,3.9235934489625053,0.0,0.0,0.0,253.98993429799688
46,2023-08-31,249.8488840632141,233.87061782585047,271.76648046085523,249.8488840632141,249.8488840632141,2.1785020939097937,2.1785020939097937,2.1785020939097937,2.1785020939097937,2.1785020939097937,2.1785020939097937,0.0,0.0,0.0,252.02738615712389
47,2023-09-01,249.63142727739378,232.52982616103915,270.3139084869215,249.63142727739378,249.63142727739378,1.397791289983104,1.397791289983104,1.397791289983104,1.397791289983104,1.397791289983104,1.397791289983104,0.0,0.0,0.0,251.0292185673769
48,2023-09-05,248.76160013411263,233.28846020697193,271.6520200765864,248.76160013411263,248.76160013411263,4.089296831278834,4.089296831278834,4.089296831278834,4.089296831278834,4.089296831278834,4.089296831278834,0.0,0.0,0.0,252.85089696539146
49,2023-09-06,248.54414334879485,232.78196188168786,272.4913083853849,248.54414334879485,248.54414334879485,3.923593448961445,3.923593448961445,3.923593448961445,3.923593448961445,3.923593448961445,3.923593448961445,0.0,0.0,0.0,252.4677367977563
50,2023-09-07,248.3266865634771,231.76117913537547,270.2678004801444,248.3266865634771,248.3266865634771,2.178502093914923,2.178502093914923,2.178502093914923,2.178502093914923,2.178502093914923,2.178502093914923,0.0,0.0,0.0,250.505188657392
51,2023-09-08,248.10922977815932,230.49739571341914,268.52816078957716,248.10922977815932,248.10922977815932,1.397791289983452,1.397791289983452,1.397791289983452,1.397791289983452,1.397791289983452,1.397791289983452,0.0,0.0,0.0,249.50702106814276
52,2023-09-11,247.45685942220604,230.89036608623482,269.5885510082908,247.45685942220604,247.45685942220604,2.596004053346095,2.596004053346095,2.596004053346095,2.596004053346095,2.596004053346095,2.596004053346095,0.0,0.0,0.0,250.05286347555213
53,2023-09-12,247.2394026368883,232.33369333185698,269.5334124873311,247.2394026368883,247.2394026368883,4.089296831280475,4.089296831280475,4.089296831280475,4.089296831280475,4.089296831280475,4.089296831280475,0.0,0.0,0.0,251.32869946816876
54,2023-09-13,247.02194585157054,230.82876356249034,268.27339616138676,247.02194585157054,247.02194585157054,3.923593448960385,3.923593448960385,3.923593448960385,3.923593448960385,3.923593448960385,3.923593448960385,0.0,0.0,0.0,250.94553930053092
55,2023-09-14,246.80448906625276,229.71479019520518,267.71522313421525,246.80448906625276,246.80448906625276,2.178502093912572,2.178502093912572,2.178502093912572,2.178502093912572,2.178502093912572,2.178502093912572,0.0,0.0,0.0,248.98299116016534
56,2023-09-15,246.58703228093503,228.39692156555913,267.6114472188893,246.58703228093503,246.58703228093503,1.397791289977285,1.397791289977285,1.397791289977285,1.397791289977285,1.397791289977285,1.397791289977285,0.0,0.0,0.0,247.9848235709123
57,2023-09-18,245.93466192912456,230.43682603532525,268.22846851770726,245.93466192912456,245.93466192912456,2.5960040533595725,2.5960040533595725,2.5960040533595725,2.5960040533595725,2.5960040533595725,2.5960040533595725,0.0,0.0,0.0,248.53066598248412
